name,description,module,path
"edit-workflow","Edit existing BMAD workflows while maintaining integrity","bmb","_bmad/bmb/workflows/workflow/workflow-edit-workflow.md"
"rework-workflow","Rework a Workflow to a V6 Compliant Version","bmb","_bmad/bmb/workflows/workflow/workflow-rework-workflow.md"
"validate-max-parallel-workflow","Run validation checks in MAX-PARALLEL mode against a workflow requires a tool that supports Parallel Sub-Processes","bmb","_bmad/bmb/workflows/workflow/workflow-validate-max-parallel-workflow.md"
"validate-workflow","Run validation check on BMAD workflows against best practices","bmb","_bmad/bmb/workflows/workflow/workflow-validate-workflow.md"
"design-thinking","Guide human-centered design processes using empathy-driven methodologies. Use when the user says """"lets run design thinking"""" or """"I want to apply design thinking""""","cis","_bmad/cis/workflows/design-thinking/workflow.yaml"
"innovation-strategy","Identify disruption opportunities and architect business model innovation. Use when the user says """"lets create an innovation strategy"""" or """"I want to find disruption opportunities""""","cis","_bmad/cis/workflows/innovation-strategy/workflow.yaml"
"problem-solving","Apply systematic problem-solving methodologies to complex challenges. Use when the user says """"guide me through structured problem solving"""" or """"I want to crack this challenge with guided problem solving techniques""""","cis","_bmad/cis/workflows/problem-solving/workflow.yaml"
"storytelling","Craft compelling narratives using story frameworks. Use when the user says """"help me with storytelling"""" or """"I want to create a narrative through storytelling""""","cis","_bmad/cis/workflows/storytelling/workflow.yaml"
"testarch-atdd","Generate failing acceptance tests using TDD cycle. Use when the user says 'lets write acceptance tests' or 'I want to do ATDD'","tea","_bmad/tea/workflows/testarch/atdd/workflow.yaml"
"testarch-automate","Expand test automation coverage for codebase. Use when the user says 'lets expand test coverage' or 'I want to automate tests'","tea","_bmad/tea/workflows/testarch/automate/workflow.yaml"
"testarch-ci","Scaffold CI/CD quality pipeline with test execution. Use when the user says 'lets setup CI pipeline' or 'I want to create quality gates'","tea","_bmad/tea/workflows/testarch/ci/workflow.yaml"
"testarch-framework","Initialize test framework with Playwright or Cypress. Use when the user says 'lets setup test framework' or 'I want to initialize testing framework'","tea","_bmad/tea/workflows/testarch/framework/workflow.yaml"
"testarch-nfr","Assess NFRs like performance security and reliability. Use when the user says 'lets assess NFRs' or 'I want to evaluate non-functional requirements'","tea","_bmad/tea/workflows/testarch/nfr-assess/workflow.yaml"
"teach-me-testing","Teach testing progressively through structured sessions. Use when user says 'lets learn testing' or 'I want to study test practices'","tea","_bmad/tea/workflows/testarch/teach-me-testing/workflow.md"
"testarch-test-design","Create system-level or epic-level test plans. Use when the user says 'lets design test plan' or 'I want to create test strategy'","tea","_bmad/tea/workflows/testarch/test-design/workflow.yaml"
"testarch-test-review","Review test quality using best practices validation. Use when the user says 'lets review tests' or 'I want to evaluate test quality'","tea","_bmad/tea/workflows/testarch/test-review/workflow.yaml"
"testarch-trace","Generate traceability matrix and quality gate decision. Use when the user says 'lets create traceability matrix' or 'I want to analyze test coverage'","tea","_bmad/tea/workflows/testarch/trace/workflow.yaml"
"action:list-tasks","List Available Tasks","core","_bmad/core/agents/bmad-master.md#LT"
"action:list-workflows","List Workflows","core","_bmad/core/agents/bmad-master.md#LW"
"action:status","Status — Où en est le projet? État, health, prochaine action suggérée","core","_bmad/core/agents/bmad-master.md#ST"
"action:what-next","What Next — Recommandation intelligente de la prochaine action","core","_bmad/core/agents/bmad-master.md#WN"
"action:persona-lab","Persona Lab: Interactive workshop to craft a distinctive, effective agent persona","bmb","_bmad/bmb/agents/agent-builder.md#PL"
"action:agent-benchmark","Agent Benchmark: Score an agent against 6 quality criteria with actionable feedback","bmb","_bmad/bmb/agents/agent-builder.md#AB"
"action:test-observability","Test Observability: Assess test suite health, flakiness, speed, and coverage gaps","tea","_bmad/tea/agents/tea.md#TO"
"action:user-persona","User Persona: Create detailed user personas with empathy maps","bmm","_bmad/bmm/agents/ux-designer.md#UP"
"action:user-journey","User Journey: Map complete user journeys with pain points and opportunities","bmm","_bmad/bmm/agents/ux-designer.md#UJ"
"action:usability-audit","Usability Audit: Evaluate against Nielsen heuristics with actionable recommendations","bmm","_bmad/bmm/agents/ux-designer.md#UA"
"action:write-document","Write Document: Follow documentation best practices from agent memory","bmm","_bmad/bmm/agents/tech-writer/tech-writer.md#WD"
"action:update-standards","Update Standards: Record specific documentation conventions in agent memory","bmm","_bmad/bmm/agents/tech-writer/tech-writer.md#US"
"action:mermaid-gen","Mermaid Generate: Create a mermaid compliant diagram","bmm","_bmad/bmm/agents/tech-writer/tech-writer.md#MG"
"action:validate-doc","Validate Documentation: Validate against standards and best practices","bmm","_bmad/bmm/agents/tech-writer/tech-writer.md#VD"
"action:explain-concept","Explain Concept: Create clear technical explanations with examples","bmm","_bmad/bmm/agents/tech-writer/tech-writer.md#EC"
"action:empathy-interview","Empathy Interview: Play the target user to discover real needs","cis","_bmad/cis/agents/design-thinking-coach.md#EI"
"action:how-might-we","How Might We: Transform problems into actionable design questions","cis","_bmad/cis/agents/design-thinking-coach.md#HM"
"action:root-cause","Root Cause Analysis: 5 Whys + Fishbone diagram to find what really went wrong","cis","_bmad/cis/agents/creative-problem-solver.md#RC"
"action:pre-mortem","Pre-Mortem: Imagine the project failed — find what will go wrong before it does","cis","_bmad/cis/agents/creative-problem-solver.md#PR"
"action:idea-evaluation","Idea Evaluation: Score and rank brainstorm outputs with Impact/Effort, RICE, or MoSCoW","cis","_bmad/cis/agents/brainstorming-coach.md#IE"
"action:constrained-brainstorm","Constrained Brainstorm: Brainstorm with intentional constraints for focused creativity","cis","_bmad/cis/agents/brainstorming-coach.md#CB"
"action:blue-ocean","Blue Ocean Canvas: Build a differentiation strategy with ERRC framework","cis","_bmad/cis/agents/innovation-strategist.md#BO"
"action:jobs-to-be-done","Jobs-to-be-Done: Extract user Jobs and underserved outcomes","cis","_bmad/cis/agents/innovation-strategist.md#JT"
"action:business-model","Business Model Canvas: Map and challenge your business model block by block","cis","_bmad/cis/agents/innovation-strategist.md#BC"
"action:disruption-assessment","Disruption Assessment: Is this truly disruptive or just incremental?","cis","_bmad/cis/agents/innovation-strategist.md#DX"
"action:slide-deck","Slide Deck: Create multi-slide presentation with professional layouts","cis","_bmad/cis/agents/presentation-master.md#SD"
"action:concept-visual","Concept Visual: One powerful image that explains an idea memorably","cis","_bmad/cis/agents/presentation-master.md#CV"
"action:pitch-deck","Pitch Deck: Investor pitch with narrative arc and data visualization","cis","_bmad/cis/agents/presentation-master.md#PD"
"action:conference-talk","Conference Talk: Build talk materials with speaker notes and timing","cis","_bmad/cis/agents/presentation-master.md#CT"
"action:infographic","Infographic: Creative information visualization with visual storytelling","cis","_bmad/cis/agents/presentation-master.md#IN"
"action:youtube-explainer","YouTube Explainer: Video explainer layout with visual script and hooks","cis","_bmad/cis/agents/presentation-master.md#EX"
"action:visual-metaphor","Visual Metaphor: Conceptual illustrations (iceberg, journey map, Rube Goldberg)","cis","_bmad/cis/agents/presentation-master.md#VM"
"action:release-narrative","Release Narrative: Turn a changelog into an engaging story for users","cis","_bmad/cis/agents/storyteller/storyteller.md#RN"
"action:case-study","Case Study: Structure a success story with Challenge → Solution → Results arc","cis","_bmad/cis/agents/storyteller/storyteller.md#CS"
"action:vision-story","Vision Story: Write a future newspaper article about your product success","cis","_bmad/cis/agents/storyteller/storyteller.md#VS"
